rank,tickers,ema_fast,ema_slow,width,max_cost,tp,sl,entry,exit,n_trades,win_rate,final_bal,IS_ret_%,OOS_ret_%
1,"QQQ,NVDA",5,26,5.0,50.0,0.6,0.5,10:00,14:30,78,29.5,1486.6,395.5,
2,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.6,10:00,15:00,78,38.5,1454.95,385.0,
3,"QQQ,NVDA",5,26,5.0,50.0,0.7,0.5,10:00,14:30,78,29.5,1449.42,383.1,
4,"QQQ,NVDA",5,26,5.0,50.0,0.8,0.5,10:00,14:30,78,29.5,1439.78,379.9,
5,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.5,09:45,15:30,78,32.1,1426.33,375.4,
6,"QQQ,NVDA",5,26,5.0,50.0,0.9,0.5,10:00,14:30,78,29.5,1423.7,374.6,
7,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.6,10:00,15:30,78,33.3,1405.26,368.4,
8,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.6,10:00,15:00,78,38.5,1400.14,366.7,
9,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.5,10:00,15:30,78,32.1,1383.72,361.2,
10,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,09:45,15:30,78,33.3,1373.53,357.8,
11,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,09:45,15:00,78,35.9,1372.24,357.4,
12,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.6,09:45,14:30,78,38.5,1353.62,351.2,
13,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.4,09:45,15:30,78,28.2,1345.86,348.6,
14,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.6,10:00,15:00,78,38.5,1331.7,343.9,
15,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.7,0.5,10:00,15:00,78,33.3,1328.29,342.8,
16,"QQQ,NVDA",5,15,2.0,50.0,0.7,0.6,09:45,14:30,78,39.7,1318.59,339.5,
17,"QQQ,NVDA",5,15,2.0,50.0,0.8,0.6,09:45,15:00,78,35.9,1317.75,339.2,
18,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.5,09:45,15:00,78,32.1,1315.56,338.5,
19,"QQQ,NVDA",5,15,2.0,50.0,0.8,0.6,09:45,14:30,78,41.0,1312.3,337.4,
20,"QQQ,NVDA",5,15,2.0,50.0,0.9,0.6,09:45,14:30,78,41.0,1311.58,337.2,
21,"QQQ,NVDA",9,20,2.0,50.0,0.9,0.4,10:00,14:30,78,35.9,1308.99,336.3,
22,"QQQ,NVDA",9,20,5.0,50.0,0.7,0.6,10:00,14:30,78,29.5,1294.69,331.6,
23,"SPY,QQQ,NVDA",12,15,2.0,50.0,0.7,0.5,10:00,15:30,78,30.8,1289.78,329.9,
24,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.8,0.6,10:00,15:00,78,34.6,1281.2,327.1,
25,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.5,10:00,15:30,78,29.5,1278.87,326.3,
26,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.6,0.6,10:00,15:00,78,29.5,1268.12,322.7,
27,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.9,0.6,10:00,15:00,78,30.8,1267.71,322.6,
28,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.7,0.6,10:00,15:00,78,30.8,1260.08,320.0,
29,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.4,09:45,15:00,78,28.2,1257.53,319.2,
30,"QQQ,NVDA",9,20,5.0,50.0,0.7,0.5,10:00,14:30,78,30.8,1256.58,318.9,
31,"QQQ,NVDA",5,15,5.0,50.0,0.6,0.5,09:45,15:00,78,24.4,1255.88,318.6,
32,"QQQ,NVDA",9,20,2.0,50.0,0.8,0.4,10:00,14:30,78,35.9,1255.32,318.4,
33,"QQQ,NVDA",5,26,3.0,50.0,0.8,0.6,09:45,14:30,78,33.3,1251.57,317.2,
34,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.5,10:00,15:00,78,32.1,1249.86,316.6,
35,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.6,0.6,10:00,15:00,78,37.2,1248.73,316.2,
36,"QQQ,NVDA",5,26,3.0,50.0,0.9,0.6,09:45,14:30,78,33.3,1248.61,316.2,
37,"QQQ,NVDA",5,26,2.0,50.0,0.9,0.4,10:00,14:30,78,33.3,1246.62,315.5,
38,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.5,10:00,15:30,78,29.5,1246.24,315.4,
39,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.7,0.6,10:00,15:30,78,33.3,1244.61,314.9,
40,"SPY,QQQ,NVDA",9,15,3.0,50.0,0.8,0.6,10:00,15:00,78,30.8,1242.82,314.3,
41,"QQQ,NVDA",5,26,2.0,50.0,0.7,0.4,09:45,15:00,78,30.8,1241.03,313.7,
42,"SPY,QQQ,NVDA",5,15,3.0,50.0,0.9,0.6,09:45,15:00,78,28.2,1235.27,311.8,
43,"SPY,QQQ,NVDA",5,15,2.0,50.0,0.6,0.5,09:45,14:30,78,34.6,1234.65,311.5,
44,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.8,0.6,10:00,15:30,78,30.8,1230.53,310.2,
45,"SPY,QQQ,NVDA",5,20,2.0,50.0,0.9,0.6,10:00,15:00,78,34.6,1229.87,310.0,
46,"QQQ,NVDA",5,15,3.0,50.0,0.9,0.5,09:45,14:30,78,32.1,1227.46,309.2,
47,"SPY,QQQ,NVDA",9,15,2.0,50.0,0.9,0.5,10:00,15:00,78,32.1,1227.57,309.2,
