ticker,date,week,spread_type,K_long,K_short,entry_time,exit_time,entry_spot,exit_spot,entry_debit,exit_value,contracts,pnl,pnl_pct,exit_reason,capital_after
QQQ,2025-09-26,2025-W39,put,484,483.0,10:00,10:55,486.5,488.77,0.282,0.1383,1,-14.38,-51.0,stop_loss,285.62
QQQ,2025-09-26,2025-W39,call,491,492.0,11:00,14:15,488.56,487.5,0.2764,0.0843,1,-19.21,-69.5,stop_loss,243.99
NVDA,2025-09-26,2025-W39,put,124,123.0,12:10,15:25,126.2,121.81,0.2242,0.8915,1,66.73,297.6,take_profit,333.14
NVDA,2025-09-29,2025-W40,call,126,127.0,10:10,10:35,124.11,121.81,0.2869,0.1267,1,-16.02,-55.8,stop_loss,317.12
QQQ,2025-09-29,2025-W40,call,490,491.0,10:45,11:40,487.09,485.02,0.25,0.1145,1,-13.55,-54.2,stop_loss,277.71
SPY,2025-09-29,2025-W40,put,569,568.0,11:30,12:00,571.16,573.41,0.2585,0.1053,1,-15.33,-59.3,stop_loss,288.24
QQQ,2025-10-06,2025-W41,call,498,499.0,10:55,11:20,495.38,492.32,0.2689,0.0989,1,-16.99,-63.2,stop_loss,271.25
NVDA,2025-10-06,2025-W41,call,125,126.0,11:30,12:00,122.16,120.78,0.1852,0.0895,1,-9.56,-51.6,stop_loss,240.12
SPY,2025-10-06,2025-W41,call,586,587.0,11:30,12:55,583.06,581.95,0.2157,0.1026,1,-11.32,-52.5,stop_loss,250.37
NVDA,2025-10-13,2025-W42,call,109,110.0,10:15,11:10,106.24,104.81,0.1869,0.0814,1,-10.55,-56.5,stop_loss,219.89
QQQ,2025-10-13,2025-W42,call,505,506.0,10:10,11:15,500.88,499.12,0.1993,0.0969,1,-10.24,-51.4,stop_loss,229.58
QQQ,2025-10-13,2025-W42,call,505,506.0,11:40,13:15,501.01,500.07,0.1701,0.0731,1,-9.71,-57.1,stop_loss,219.87
NVDA,2025-10-20,2025-W43,put,106,105.0,14:35,15:15,107.28,107.46,0.1679,0.0743,1,-9.35,-55.7,stop_loss,191.26
QQQ,2025-10-20,2025-W43,call,500,501.0,09:45,15:30,495.63,500.62,0.1926,0.531,1,33.84,175.7,time_exit,244.36
SPY,2025-10-21,2025-W43,put,610,609.0,10:55,13:45,613.52,606.25,0.1962,0.8453,1,64.92,331.0,take_profit,309.28
